RegCod;Reg;CouCod;Cou;NewHIV;PreHIV;TotHIV;Pop;Rel
EMR;Eastern Mediterranean;AFG;Afghanistan;1600;0.1;12000;40600000;Islam
EUR;Europe;ALB;Albania;100;0.1;1400;2830000;Islam
AFR;Africa;DZA;Algeria;2000;0.1;24000;45500000;Islam
AFR;Africa;AGO;Angola;17000;1.5;320000;35600000;Christianity
AMR;Americas;ARG;Argentina;4500;0.4;130000;45400000;Christianity
EUR;Europe;ARM;Armenia;530;0.3;5900;2880000;Christianity
WPR;Western Pacific;AUS;Australia;500;0.1;29000;26200000;Christianity
EUR;Europe;AUT;Austria;175;0.2;9000;9060000;Christianity
EUR;Europe;AZE;Azerbaijan;500;0.1;10000;10300000;Islam
AMR;Americas;BHS;Bahamas;100;1.2;4100;398000;Christianity
SEAR;South-East Asia;BGD;Bangladesh;1100;0.1;15000;169000000;Islam
AMR;Americas;BRB;Barbados;100;0.9;2100;282000;Christianity
EUR;Europe;BLR;Belarus;910;0.3;27000;9170000;Christianity
EUR;Europe;BEL;Belgium;4000;0.2;19230;11600000;Christianity
AMR;Americas;BLZ;Belize;200;1.2;3600;403000;Christianity
AFR;Africa;BEN;Benin;1400;0.8;68000;13800000;Christianity
SEAR;South-East Asia;BTN;Bhutan;100;0.2;1200;781000;Buddhism
AMR;Americas;BOL;Bolivia (Plurinational State of);2000;0.3;30000;12100000;Christianity
EUR;Europe;BIH;Bosnia and Herzegovina;100;0.1;580;3200000;Islam
AFR;Africa;BWA;Botswana;4400;20.1;360000;2440000;Christianity
AMR;Americas;BRA;Brazil;51000;0.5;970000;210000000;Christianity
WPR;Western Pacific;BRN;Brunei Darussalam;100;0.1;435;455000;Islam
EUR;Europe;BGR;Bulgaria;500;0.1;3600;6830000;Christianity
AFR;Africa;BFA;Burkina Faso;1800;0.7;97000;22500000;Islam
AFR;Africa;BDI;Burundi;1800;1.1;82000;13300000;Christianity
AFR;Africa;CPV;Cabo Verde;500;1.0;3800;520000;Christianity
WPR;Western Pacific;KHM;Cambodia;1300;0.6;76000;17200000;Buddhism
AFR;Africa;CMR;Cameroon;25000;2.7;480000;27600000;Christianity
AMR;Americas;CAN;Canada;1800;0.17;65000;38800000;Christianity
AFR;Africa;CAF;Central African Republic;8000;3.5;210000;5100000;Christianity
AFR;Africa;TCD;Chad;5000;1.1;110000;18500000;Islam
AMR;Americas;CHL;Chile;3700;0.5;87000;19600000;Christianity
WPR;Western Pacific;CHN;China;108000;0.2;1220000;1430000000;Buddhism
AMR;Americas;COL;Colombia;13000;0.6;230000;51700000;Christianity
AFR;Africa;COM;Comoros;100;0.1;200;834000;Islam
AFR;Africa;COG;Congo;9800;3.1;120000;6040000;Christianity
WPR;Western Pacific;COK;Cook Islands;1;0.2;8;13729;Christianity
AMR;Americas;CRI;Costa Rica;930;0.4;18000;5080000;Christianity
AFR;Africa;CIV;Cote d'Ivoire;11000;2.3;430000;30400000;Islam
EUR;Europe;HRV;Croatia;100;0.1;1800;3910000;Christianity
AMR;Americas;CUB;Cuba;2000;0.4;42000;11100000;Christianity
EUR;Europe;CYP;Cyprus;220;0.2;1200;1330000;Christianity
EUR;Europe;CZE;Czech Republic;200;0.1;4000;10700000;Christianity
AFR;Africa;COD;Democratic Republic of the Congo;21000;0.7;510000;102000000;Christianity
EUR;Europe;DNK;Denmark;100;0.1;6300;5900000;Christianity
EMR;Eastern Mediterranean;DJI;Djibouti;500;0.9;7600;1140000;Islam
AMR;Americas;DMA;Dominica;100;0.9;1600;66800;Christianity
AMR;Americas;DOM;Dominican Republic;4400;1.0;82000;11200000;Christianity
AMR;Americas;ECU;Ecuador;2200;0.4;49000;17800000;Christianity
EMR;Eastern Mediterranean;EGY;Egypt;6200;0.1;35000;113000000;Islam
AMR;Americas;SLV;El Salvador;810;0.5;22000;6280000;Christianity
AFR;Africa;GNQ;Equatorial Guinea;740;6.5;25400;1800000;Christianity
AFR;Africa;ERI;Eritrea;500;0.6;13000;3410000;Christianity
EUR;Europe;EST;Estonia;200;0.7;7300;1350000;Christianity
AFR;Africa;SWZ;Eswatini;4100;28.1;230000;1220000;Christianity
AFR;Africa;ETH;Ethiopia;8400;0.9;610000;125000000;Christianity
WPR;Western Pacific;FJI;Fiji;500;0.3;2300;919000;Christianity
EUR;Europe;FIN;Finland;240;0.12;3700;5570000;Christianity
EUR;Europe;FRA;France;5500;0.4;200000;66300000;Christianity
AFR;Africa;GAB;Gabon;2000;3.2;52000;2430000;Christianity
AFR;Africa;GMB;Gambia;1600;1.6;27000;2640000;Islam
EUR;Europe;GEO;Georgia;540;0.3;8600;3790000;Christianity
EUR;Europe;DEU;Germany;1900;0.3;96700;84100000;Christianity
AFR;Africa;GHA;Ghana;18000;1.6;330000;33100000;Christianity
EUR;Europe;GRC;Greece;550;0.2;15000;10400000;Christianity
AMR;Americas;GRD;Grenada;40;1.3;1300;117000;Christianity
AMR;Americas;GTM;Guatemala;1500;0.3;34000;17800000;Christianity
AFR;Africa;GIN;Guinea;5300;1.4;120000;14100000;Islam
AFR;Africa;GNB;Guinea-Bissau;1200;2.5;35000;2110000;Islam
AMR;Americas;GUY;Guyana;560;1.7;10000;822000;Christianity
AMR;Americas;HTI;Haiti;5700;1.7;140000;11500000;Christianity
AMR;Americas;HND;Honduras;550;0.3;20000;10500000;Christianity
EUR;Europe;HUN;Hungary;220;0.03;6000;9680000;Christianity
EUR;Europe;ISL;Iceland;100;0.1;500;380000;Christianity
SEAR;South-East Asia;IND;India;66400;1.9;2400000;1430000000;Hinduism
SEAR;South-East Asia;IDN;Indonesia;29000;0.3;570000;279000000;Islam
EMR;Eastern Mediterranean;IRN;Iran (Islamic Republic of);2500;0.1;43000;89500000;Islam
EMR;Eastern Mediterranean;IRQ;Iraq;1000;0.1;2900;44100000;Islam
EUR;Europe;IRL;Ireland;200;0.2;8000;5110000;Christianity
EUR;Europe;ISR;Israel;500;0.1;9400;9100000;Judaism
EUR;Europe;ITA;Italy;1800;0.3;140000;59600000;Christianity
